 v_i      u      x      Error   
4.0552e-07 0.28565 0.0392961 0.999999
4.05115e-07 0.286225 0.0393961 0.999999
4.0471e-07 0.286799 0.0394961 0.999999
4.04305e-07 0.287372 0.039596 0.999999
4.03901e-07 0.287945 0.039696 0.999999
4.03497e-07 0.288517 0.039796 0.999999
4.03094e-07 0.289088 0.039896 0.999999
4.02691e-07 0.289659 0.039996 0.999999
4.02289e-07 0.290229 0.040096 0.999999
4.01887e-07 0.290798 0.040196 0.999999
4.01485e-07 0.291367 0.040296 0.999999
4.01084e-07 0.291935 0.040396 0.999999
4.00683e-07 0.292502 0.040496 0.999999
4.00283e-07 0.293069 0.0405959 0.999999
3.99883e-07 0.293635 0.0406959 0.999999
3.99483e-07 0.2942 0.0407959 0.999999
3.99084e-07 0.294765 0.0408959 0.999999
3.98685e-07 0.295329 0.0409959 0.999999
3.98286e-07 0.295892 0.0410959 0.999999
3.97888e-07 0.296454 0.0411959 0.999999
3.97491e-07 0.297016 0.0412959 0.999999
3.97094e-07 0.297578 0.0413959 0.999999
3.96697e-07 0.298138 0.0414959 0.999999
3.963e-07 0.298698 0.0415958 0.999999
3.95904e-07 0.299258 0.0416958 0.999999
3.95508e-07 0.299816 0.0417958 0.999999
3.95113e-07 0.300374 0.0418958 0.999999
3.94718e-07 0.300932 0.0419958 0.999999
3.94324e-07 0.301488 0.0420958 0.999999
3.9393e-07 0.302044 0.0421958 0.999999
3.93536e-07 0.3026 0.0422958 0.999999
3.93143e-07 0.303155 0.0423958 0.999999
3.9275e-07 0.303709 0.0424958 0.999999
3.92357e-07 0.304262 0.0425957 0.999999
3.91965e-07 0.304815 0.0426957 0.999999
3.91573e-07 0.305367 0.0427957 0.999999
3.91182e-07 0.305918 0.0428957 0.999999
3.90791e-07 0.306469 0.0429957 0.999999
3.90401e-07 0.307019 0.0430957 0.999999
3.9001e-07 0.307569 0.0431957 0.999999
3.89621e-07 0.308118 0.0432957 0.999999
3.89231e-07 0.308666 0.0433957 0.999999
3.88842e-07 0.309214 0.0434957 0.999999
3.88454e-07 0.30976 0.0435956 0.999999
3.88065e-07 0.310307 0.0436956 0.999999
3.87678e-07 0.310852 0.0437956 0.999999
3.8729e-07 0.311397 0.0438956 0.999999
3.86903e-07 0.311942 0.0439956 0.999999
3.86516e-07 0.312485 0.0440956 0.999999
3.8613e-07 0.313028 0.0441956 0.999999
3.85744e-07 0.313571 0.0442956 0.999999
3.85359e-07 0.314113 0.0443956 0.999999
3.84974e-07 0.314654 0.0444956 0.999999
3.84589e-07 0.315194 0.0445955 0.999999
3.84205e-07 0.315734 0.0446955 0.999999
3.83821e-07 0.316273 0.0447955 0.999999
3.83437e-07 0.316812 0.0448955 0.999999
3.83054e-07 0.31735 0.0449955 0.999999
3.82671e-07 0.317887 0.0450955 0.999999
3.82289e-07 0.318424 0.0451955 0.999999
3.81906e-07 0.31896 0.0452955 0.999999
3.81525e-07 0.319495 0.0453955 0.999999
3.81143e-07 0.32003 0.0454955 0.999999
3.80763e-07 0.320564 0.0455954 0.999999
3.80382e-07 0.321097 0.0456954 0.999999
3.80002e-07 0.32163 0.0457954 0.999999
3.79622e-07 0.322162 0.0458954 0.999999
3.79243e-07 0.322694 0.0459954 0.999999
3.78864e-07 0.323225 0.0460954 0.999999
3.78485e-07 0.323755 0.0461954 0.999999
3.78107e-07 0.324285 0.0462954 0.999999
3.77729e-07 0.324814 0.0463954 0.999999
3.77351e-07 0.325342 0.0464954 0.999999
3.76974e-07 0.32587 0.0465953 0.999999
3.76598e-07 0.326397 0.0466953 0.999999
3.76221e-07 0.326924 0.0467953 0.999999
3.75845e-07 0.32745 0.0468953 0.999999
3.7547e-07 0.327975 0.0469953 0.999999
3.75094e-07 0.3285 0.0470953 0.999999
3.74719e-07 0.329024 0.0471953 0.999999
3.74345e-07 0.329547 0.0472953 0.999999
3.73971e-07 0.33007 0.0473953 0.999999
3.73597e-07 0.330592 0.0474953 0.999999
3.73224e-07 0.331114 0.0475952 0.999999
3.72851e-07 0.331635 0.0476952 0.999999
3.72478e-07 0.332155 0.0477952 0.999999
3.72106e-07 0.332675 0.0478952 0.999999
3.71734e-07 0.333194 0.0479952 0.999999
3.71362e-07 0.333712 0.0480952 0.999999
3.70991e-07 0.33423 0.0481952 0.999999
3.70621e-07 0.334747 0.0482952 0.999999
3.7025e-07 0.335264 0.0483952 0.999999
3.6988e-07 0.33578 0.0484952 0.999999
3.6951e-07 0.336295 0.0485951 0.999999
3.69141e-07 0.33681 0.0486951 0.999999
3.68772e-07 0.337324 0.0487951 0.999999
3.68404e-07 0.337838 0.0488951 0.999999
3.68036e-07 0.338351 0.0489951 0.999999
3.67668e-07 0.338863 0.0490951 0.999999
3.673e-07 0.339375 0.0491951 0.999999
3.66933e-07 0.339886 0.0492951 0.999999
3.66566e-07 0.340396 0.0493951 0.999999
